"ID_PRODUCT_EXT";"NAME_PRODUCT_EXT";"ID_BUSINESS"
68;"Расчеты по пластиковым картам ООО ""Бессер Девелопмент Групп""#VISA GOLD ZP STANDART RUR";12
55;"Расчеты по пластиковым картам ООО ""Дилерал""#VISA CL ZP STANDART RUR";12
56;"Расчеты по пластиковым картам ООО ""Дилерал""#VISA GOLD ZP STANDART RUR";12
65;"Расчеты по пластиковым картам ООО ""Интеркон""#VISA CL ZP STANDART RUR";12
66;"Расчеты по пластиковым картам ООО ""Интеркон""#VISA GOLD ZP STANDART RUR";12
69;"Расчеты по пластиковым картам ООО ""КОНЦЕПТ""#VISA CL ZP STANDART RUR";12
70;"Расчеты по пластиковым картам ООО ""КОНЦЕПТ""#VISA GOLD ZP STANDART RUR";12
73;"Расчеты по пластиковым картам ООО ""Монтажтехстрой""#VISA CL ZP STANDART RUR";12
74;"Расчеты по пластиковым картам ООО ""Монтажтехстрой""#VISA GOLD ZP STANDART RUR";12
83;"Расчеты по пластиковым картам ООО ""МСА Строй""#VISA CL ZP STANDART RUR";12
84;"Расчеты по пластиковым картам ООО ""МСА Строй""#VISA GOLD ZP STANDART RUR";12
79;"Расчеты по пластиковым картам ООО ""Парус""#VISA CL ZP STANDART RUR";12
80;"Расчеты по пластиковым картам ООО ""Парус""#VISA GOLD ZP STANDART RUR";12
57;"Расчеты по пластиковым картам ООО ""РемСтрой""#VISA CL ZP STANDART RUR";12
58;"Расчеты по пластиковым картам ООО ""РемСтрой""#VISA GOLD ZP STANDART RUR";12
77;"Расчеты по пластиковым картам ООО ""Ротонда""#VISA CL ZP STANDART RUR";12
78;"Расчеты по пластиковым картам ООО ""Ротонда""#VISA GOLD ZP STANDART RUR";12
75;"Расчеты по пластиковым картам ООО ""Строй-Сервис""#VISA CL ZP STANDART RUR";12
76;"Расчеты по пластиковым картам ООО ""Строй-Сервис""#VISA GOLD ZP STANDART RUR";12
161;"Расчеты по пластиковым картам ООО ""СТРОЙЭЛИТ""#VISA CL ZP STANDART RUR";12
162;"Расчеты по пластиковым картам ООО ""СТРОЙЭЛИТ""#VISA GOLD ZP STANDART RUR";12
145;"Расчеты по пластиковым картам ООО ""ТольяттиТехСтекло"" + ОВЕРДРАФТ#VISA CL ZP STANDART RUR";12
146;"Расчеты по пластиковым картам ООО ""ТольяттиТехСтекло"" + ОВЕРДРАФТ#VISA GOLD ZP STANDART RUR";12
143;"Расчеты по пластиковым картам ООО ""ТольяттиТехСтекло""#VISA CL ZP STANDART RUR";12
144;"Расчеты по пластиковым картам ООО ""ТольяттиТехСтекло""#VISA GOLD ZP STANDART RUR";12
